OBJECTID,GEOID,TotWorkers16over,SpeakSpanishWorkers,WorkAtHome,4pplusHH,16plusworkPoverty,16plusworkbelowpoverty,FID_,GEOID,NAME,GEOID_Data
21423,14000US17031251600,963,87,13,292,,,,17031251600,2516,14000US17031251600
21424,14000US17031251700,306,68,11,137,,,,17031251700,2517,14000US17031251700
21425,14000US17031251800,1181,10,25,420,,,,17031251800,2518,14000US17031251800
21426,14000US17031251900,1676,15,29,509,,,,17031251900,2519,14000US17031251900
21427,14000US17031252000,1855,61,24,449,,,,17031252000,2520,14000US17031252000
21428,14000US17031252101,523,26,0,103,,,,17031252101,2521.01,14000US17031252101
21429,14000US17031252102,1836,20,0,424,,,,17031252102,2521.02,14000US17031252102
21430,14000US17031252201,779,0,31,207,,,,17031252201,2522.01,14000US17031252201
21431,14000US17031252202,1324,0,0,464,,,,17031252202,2522.02,14000US17031252202
21432,14000US17031260100,322,0,0,103,,,,17031260100,2601,14000US17031260100
21433,14000US17031260200,292,0,0,134,,,,17031260200,2602,14000US17031260200
21434,14000US17031260300,378,8,3,169,,,,17031260300,2603,14000US17031260300
21435,14000US17031260400,344,0,19,126,,,,17031260400,2604,14000US17031260400
21436,14000US17031260500,394,0,0,185,,,,17031260500,2605,14000US17031260500
21437,14000US17031260600,734,7,33,336,,,,17031260600,2606,14000US17031260600
21438,14000US17031260700,602,0,14,260,,,,17031260700,2607,14000US17031260700
21439,14000US17031260800,589,97,25,223,,,,17031260800,2608,14000US17031260800
21440,14000US17031260900,411,0,18,253,,,,17031260900,2609,14000US17031260900
21441,14000US17031261000,743,6,25,272,,,,17031261000,2610,14000US17031261000
21442,14000US17031270500,254,0,37,211,,,,17031270500,2705,14000US17031270500
