OBJECTID,GEOID,TotalPop,FID_,GEOID,NAME,GEOID_Data
21415,14000US17031250700,5979,,17031250700,2507,14000US17031250700
21416,14000US17031250800,2272,,17031250800,2508,14000US17031250800
21417,14000US17031251000,1284,,17031251000,2510,14000US17031251000
21418,14000US17031251100,4811,,17031251100,2511,14000US17031251100
21419,14000US17031251200,3946,,17031251200,2512,14000US17031251200
21420,14000US17031251300,4774,,17031251300,2513,14000US17031251300
21421,14000US17031251400,3952,,17031251400,2514,14000US17031251400
21422,14000US17031251500,4227,,17031251500,2515,14000US17031251500
21423,14000US17031251600,3174,,17031251600,2516,14000US17031251600
21424,14000US17031251700,1613,,17031251700,2517,14000US17031251700
21425,14000US17031251800,4954,,17031251800,2518,14000US17031251800
21426,14000US17031251900,6063,,17031251900,2519,14000US17031251900
21427,14000US17031252000,5973,,17031252000,2520,14000US17031252000
21428,14000US17031252101,1559,,17031252101,2521.01,14000US17031252101
21429,14000US17031252102,6110,,17031252102,2521.02,14000US17031252102
21430,14000US17031252201,2653,,17031252201,2522.01,14000US17031252201
21431,14000US17031252202,4391,,17031252202,2522.02,14000US17031252202
21432,14000US17031260100,1283,,17031260100,2601,14000US17031260100
21433,14000US17031260200,1140,,17031260200,2602,14000US17031260200
21434,14000US17031260300,1484,,17031260300,2603,14000US17031260300
21435,14000US17031260400,1520,,17031260400,2604,14000US17031260400
21436,14000US17031260500,1716,,17031260500,2605,14000US17031260500
21437,14000US17031260600,2945,,17031260600,2606,14000US17031260600
21438,14000US17031260700,2408,,17031260700,2607,14000US17031260700
21439,14000US17031260800,2245,,17031260800,2608,14000US17031260800
21440,14000US17031260900,1938,,17031260900,2609,14000US17031260900
21441,14000US17031261000,2698,,17031261000,2610,14000US17031261000
21442,14000US17031270500,1660,,17031270500,2705,14000US17031270500
21443,14000US17031271200,1342,,17031271200,2712,14000US17031271200
21444,14000US17031271300,1150,,17031271300,2713,14000US17031271300
21445,14000US17031271400,1299,,17031271400,2714,14000US17031271400
21446,14000US17031271500,1395,,17031271500,2715,14000US17031271500
21447,14000US17031271800,1017,,17031271800,2718,14000US17031271800
21448,14000US17031280100,5293,,17031280100,2801,14000US17031280100
21449,14000US17031280400,950,,17031280400,2804,14000US17031280400
21450,14000US17031280800,544,,17031280800,2808,14000US17031280800
21451,14000US17031280900,1039,,17031280900,2809,14000US17031280900
21452,14000US17031281900,4049,,17031281900,2819,14000US17031281900
21453,14000US17031282700,2505,,17031282700,2827,14000US17031282700
21454,14000US17031282800,1726,,17031282800,2828,14000US17031282800
21455,14000US17031283100,2519,,17031283100,2831,14000US17031283100
21456,14000US17031283200,1255,,17031283200,2832,14000US17031283200
21457,14000US17031283800,3196,,17031283800,2838,14000US17031283800
21458,14000US17031290900,4038,,17031290900,2909,14000US17031290900
21459,14000US17031291200,2440,,17031291200,2912,14000US17031291200
21460,14000US17031291600,920,,17031291600,2916,14000US17031291600
21461,14000US17031292200,3043,,17031292200,2922,14000US17031292200
21462,14000US17031292400,2028,,17031292400,2924,14000US17031292400
21463,14000US17031292500,4136,,17031292500,2925,14000US17031292500
21464,14000US17031300500,2888,,17031300500,3005,14000US17031300500
21465,14000US17031300600,3458,,17031300600,3006,14000US17031300600
21466,14000US17031300700,4451,,17031300700,3007,14000US17031300700
21467,14000US17031300800,3970,,17031300800,3008,14000US17031300800
21468,14000US17031300900,3718,,17031300900,3009,14000US17031300900
21469,14000US17031301100,2583,,17031301100,3011,14000US17031301100
21470,14000US17031301200,3974,,17031301200,3012,14000US17031301200
21471,14000US17031301600,4458,,17031301600,3016,14000US17031301600
21472,14000US17031301701,3578,,17031301701,3017.01,14000US17031301701
21473,14000US17031301702,3387,,17031301702,3017.02,14000US17031301702
21474,14000US17031301801,4315,,17031301801,3018.01,14000US17031301801
21475,14000US17031301802,2509,,17031301802,3018.02,14000US17031301802
21476,14000US17031301803,4976,,17031301803,3018.03,14000US17031301803
21477,14000US17031310200,1412,,17031310200,3102,14000US17031310200
21478,14000US17031310300,1547,,17031310300,3103,14000US17031310300
21479,14000US17031310400,1363,,17031310400,3104,14000US17031310400
21480,14000US17031310500,1659,,17031310500,3105,14000US17031310500
21481,14000US17031310600,5644,,17031310600,3106,14000US17031310600
21482,14000US17031310700,1538,,17031310700,3107,14000US17031310700
21483,14000US17031310800,4875,,17031310800,3108,14000US17031310800
21484,14000US17031310900,5332,,17031310900,3109,14000US17031310900
21485,14000US17031320100,9603,,17031320100,3201,14000US17031320100
21486,14000US17031320400,1546,,17031320400,3204,14000US17031320400
21487,14000US17031320600,3670,,17031320600,3206,14000US17031320600
21488,14000US17031330100,15740,,17031330100,3301,14000US17031330100
21489,14000US17031330200,3872,,17031330200,3302,14000US17031330200
21490,14000US17031340300,1957,,17031340300,3403,14000US17031340300
21491,14000US17031340400,1954,,17031340400,3404,14000US17031340400
21492,14000US17031340500,1593,,17031340500,3405,14000US17031340500
21493,14000US17031340600,1195,,17031340600,3406,14000US17031340600
21494,14000US17031350100,1980,,17031350100,3501,14000US17031350100
21495,14000US17031350400,857,,17031350400,3504,14000US17031350400
21496,14000US17031351000,3711,,17031351000,3510,14000US17031351000
21497,14000US17031351100,1919,,17031351100,3511,14000US17031351100
21498,14000US17031351400,1366,,17031351400,3514,14000US17031351400
21499,14000US17031351500,176,,17031351500,3515,14000US17031351500
21500,14000US17031360200,1330,,17031360200,3602,14000US17031360200
21501,14000US17031380100,2101,,17031380100,3801,14000US17031380100
21502,14000US17031380200,1552,,17031380200,3802,14000US17031380200
21503,14000US17031380500,697,,17031380500,3805,14000US17031380500
21504,14000US17031380700,1590,,17031380700,3807,14000US17031380700
21505,14000US17031381200,2278,,17031381200,3812,14000US17031381200
21506,14000US17031381400,1842,,17031381400,3814,14000US17031381400
21507,14000US17031381500,211,,17031381500,3815,14000US17031381500
21508,14000US17031381700,0,,17031381700,3817,14000US17031381700
21509,14000US17031381800,1198,,17031381800,3818,14000US17031381800
21510,14000US17031381900,1414,,17031381900,3819,14000US17031381900
21511,14000US17031390100,1324,,17031390100,3901,14000US17031390100
21512,14000US17031390200,1884,,17031390200,3902,14000US17031390200
21513,14000US17031390300,2954,,17031390300,3903,14000US17031390300
21514,14000US17031390400,2946,,17031390400,3904,14000US17031390400
21515,14000US17031390500,1507,,17031390500,3905,14000US17031390500
21516,14000US17031390600,1986,,17031390600,3906,14000US17031390600
21517,14000US17031390700,5579,,17031390700,3907,14000US17031390700
21518,14000US17031400300,1671,,17031400300,4003,14000US17031400300
21519,14000US17031400400,1460,,17031400400,4004,14000US17031400400
21520,14000US17031400500,2147,,17031400500,4005,14000US17031400500
21521,14000US17031400800,2613,,17031400800,4008,14000US17031400800
21522,14000US17031410100,1810,,17031410100,4101,14000US17031410100
21523,14000US17031410200,1004,,17031410200,4102,14000US17031410200
21524,14000US17031410500,2673,,17031410500,4105,14000US17031410500
21525,14000US17031410600,2490,,17031410600,4106,14000US17031410600
21526,14000US17031410700,1997,,17031410700,4107,14000US17031410700
21527,14000US17031410800,3074,,17031410800,4108,14000US17031410800
21528,14000US17031410900,3370,,17031410900,4109,14000US17031410900
21529,14000US17031411000,3565,,17031411000,4110,14000US17031411000
21530,14000US17031411100,2234,,17031411100,4111,14000US17031411100
21531,14000US17031411200,1677,,17031411200,4112,14000US17031411200
21532,14000US17031420100,1284,,17031420100,4201,14000US17031420100
21533,14000US17031420200,1729,,17031420200,4202,14000US17031420200
21534,14000US17031420300,1901,,17031420300,4203,14000US17031420300
21535,14000US17031420400,1421,,17031420400,4204,14000US17031420400
21536,14000US17031420500,2320,,17031420500,4205,14000US17031420500
21537,14000US17031420600,1656,,17031420600,4206,14000US17031420600
21538,14000US17031420700,2879,,17031420700,4207,14000US17031420700
21539,14000US17031420800,2502,,17031420800,4208,14000US17031420800
21540,14000US17031421200,1484,,17031421200,4212,14000US17031421200
