OBJECTID,GEOID,PopWhite,PopBlack,FID_,GEOID,NAME,GEOID_Data
21474,14000US17031301801,3382,72,,17031301801,3018.01,14000US17031301801
21475,14000US17031301802,1589,1,,17031301802,3018.02,14000US17031301802
21476,14000US17031301803,3683,0,,17031301803,3018.03,14000US17031301803
21477,14000US17031310200,975,0,,17031310200,3102,14000US17031310200
21478,14000US17031310300,695,90,,17031310300,3103,14000US17031310300
21479,14000US17031310400,760,133,,17031310400,3104,14000US17031310400
21480,14000US17031310500,780,5,,17031310500,3105,14000US17031310500
21481,14000US17031310600,2490,450,,17031310600,3106,14000US17031310600
21482,14000US17031310700,943,63,,17031310700,3107,14000US17031310700
21483,14000US17031310800,2243,34,,17031310800,3108,14000US17031310800
21484,14000US17031310900,2736,81,,17031310900,3109,14000US17031310900
21485,14000US17031320100,6706,604,,17031320100,3201,14000US17031320100
21486,14000US17031320400,890,309,,17031320400,3204,14000US17031320400
21487,14000US17031320600,2214,601,,17031320600,3206,14000US17031320600
21488,14000US17031330100,7868,3850,,17031330100,3301,14000US17031330100
21489,14000US17031330200,1759,1338,,17031330200,3302,14000US17031330200
21490,14000US17031340300,324,9,,17031340300,3403,14000US17031340300
21491,14000US17031340400,308,1,,17031340400,3404,14000US17031340400
21492,14000US17031340500,736,222,,17031340500,3405,14000US17031340500
21493,14000US17031340600,0,1190,,17031340600,3406,14000US17031340600
21494,14000US17031350100,215,1054,,17031350100,3501,14000US17031350100
21495,14000US17031350400,0,784,,17031350400,3504,14000US17031350400
21496,14000US17031351000,130,2640,,17031351000,3510,14000US17031351000
21497,14000US17031351100,12,1887,,17031351100,3511,14000US17031351100
21498,14000US17031351400,112,1212,,17031351400,3514,14000US17031351400
21499,14000US17031351500,9,118,,17031351500,3515,14000US17031351500
21500,14000US17031360200,0,1285,,17031360200,3602,14000US17031360200
21501,14000US17031380100,157,1907,,17031380100,3801,14000US17031380100
21502,14000US17031380200,67,1472,,17031380200,3802,14000US17031380200
21503,14000US17031380500,2,655,,17031380500,3805,14000US17031380500
21504,14000US17031380700,306,1272,,17031380700,3807,14000US17031380700
21505,14000US17031381200,144,2070,,17031381200,3812,14000US17031381200
21506,14000US17031381400,20,1758,,17031381400,3814,14000US17031381400
21507,14000US17031381500,3,204,,17031381500,3815,14000US17031381500
21508,14000US17031381700,0,0,,17031381700,3817,14000US17031381700
21509,14000US17031381800,98,865,,17031381800,3818,14000US17031381800
21510,14000US17031381900,60,1335,,17031381900,3819,14000US17031381900
21511,14000US17031390100,53,1243,,17031390100,3901,14000US17031390100
21512,14000US17031390200,113,1733,,17031390200,3902,14000US17031390200
21513,14000US17031390300,187,2742,,17031390300,3903,14000US17031390300
